Date,Title,Content
2009-12-17,What is nanotechnology and why does it matter?: From science to ethics,"Ongoing research in nanotechnology promises both innovations and risks, potentially and profoundly changing the world. This book helps to promote a balanced understanding of this important emerging technology, offering an informed and impartial look at the technology, its science, and its social impact and ethics. Nanotechnology is crucial for the next generation of industries, financial markets, research labs, and our everyday lives; this book provides an informed and balanced look at nanotechnology and its social impact. Offers a comprehensive background discussion on nanotechnology itself, including its history, its science, and its tools, creating a clear understanding of the technology needed to evaluate ethics and social issues. Authored by a nanoscientist and philosophers, offers an accurate and accessible look at the science while providing an ideal text for ethics and philosophy courses. Explores the most immediate and urgent areas of social impact of nanotechnology."
2009-12-14,Electrospinning of poly(dimethylsiloxane)/poly(methyl methacrylate) nanofibrous membrane: Fabrication and application in protein microarrays,"Fabrication of poly(dimethylsiloxane) (PDMS)/poly(methyl methacrylate) (PMMA) nanofibers is critical to harness the advantage of nanostructured membrane applied in protein microarrays. Electrospinning (ES) of PDMS nanofibers is challenging because of the relatively low molecular weight of PDMS prepolymer. We report a strategy to fabricate PDMS/PMMA nanofibers via ES by introducing carrier polymer PMMA into PDMS solutions to supplement the deficiency of chain entanglements in the PDMS prepolymer. The prepared PDMS/PMMA nanofibrous membrane (PDMS/PMMA NFM) was successfully used as substrates for protein microarrays. The results of immunoassays showed the superior performance of PDMS/PMMA NFM as 3D substrate for protein microarrays; the limit-of-detection (LOD) on PDMS/PMMA NFM was 32 times lower than that on nitrocellulose membrane. The realization of ES PDMS extends the scope of ES materials from thermoplastic polymers to thermosetting materials. Given the simplicity, low cost, and high efficiency of ES technology, we believe that PDMS/PMMA NFM is a promising 3D substrate for protein microarrays. © 2009 American Chemical Society."
2009-12-01,Nanotechnology: Societal implications: Individual perspectives,"Advances in nanoscience and nanotechnology promise to have major impacts on human health, wealth, and peace in the coming decades. Among the expected breakthroughs are orders of magnitude increases in computer efficiency, human organ restoration using engineered tissue, 'designer' materials, and the emergence of entirely new phenomena in chemistry and physics. In this book, leading scientists, engineers, and social scientists review the possible uses of these impending technical developments in various industrial, medical, and national security applications. They also examine the corresponding ethical, legal, social, economic, and educational issues that these developments raise. The report outlines potential areas for research into societal implications of nanotechnology as well as some preliminary suggestions for how potential positive impacts of nanotechnology can be maximized, while any possible negative impacts, real or imagined, minimized. This book also provides the beginning of a blueprint for how one should address second-order consequences of the new technology, either positive implications or potential risks. © 2007 to the complete printed work by Springer."
2009-12-01,"Ethics, risk, and nanotechnology: Responsible approaches to dealing with risk commission de l'éthique de la science et de la technologie","Nanotechnology arises from the convergence of basic research in physics, chemistry and biology, and is often considered one of the most promising technologies for the future of humanity. However, while the prefix nano has leaked into popular language, its very concept is still unclear to most people. Nanotechnology is innovative in character; it is currently moving from the laboratory to industrial manufacturing and marketing; significant public and private investments are going into development and promotion; and the anticipated benefits are considerable. For all of these reasons, the Québec Commission de l'éthique de la science et de la technologie (CEST) has decided to explore nanotechnology from an ethical perspective and to publish a position statement on the subject. For the purpose of a global reflection on nanotechnology, the Commission has deemed important to consider such aspects as the size of nanometric particles, the means of manipulating materials (top-down and bottom-up), multidisciplinary approaches and the convergence of disciplines with respect to nanotechnology as well as a general fascination with nanotechnology. These aspects provided the foundation of the ethical questions addressed by the Commission. © 2009 Springer Science+Business Media B.V."
2009-12-01,Explosion properties of nanopowders,
2009-12-01,Safety aspects of reactive nanopowders,"Emerging nanomanufactured products are being incorporated in a variety of consumer products ranging from closer body contact products (i.e. cosmetics, sunscreens, toothpastes, pharmaceuticals, clothing) to more remote body-contact products (electronics, plastics, tires, automotive and aeronautical), hence posing potential health and environmental risks. The new field of nanosafety has emerged and need to be explored now rather than after problems become so ubiquitous and difficult to treat that their trend become irreversible. Such endeavour necessitates a transdisciplinary approach. A commonly forgotten and/or misunderstood risk is that of explosion/detonation of nanopowders, due to their high specific active surface areas. Such risk is emphasized and illustrated with the present development of an appropriate risk analysis. For this particular risk, a review of characterization methods and their limitations with regard to nanopowders is presented and illustrated for a few organic and metallic nanopowders."
2009-12-01,Safety problems in nanotechnology,The experience of leading countries in ensuring the safety of nanotechnology production has been analyzed; recommendations for perfecting the nanosafety system in Russia have been formulated. © 2009: CriMiCo'2009 Organizing Committee.
2009-12-01,Nanotechnology safety education,"Materials at the nano [10 -09 meter in at least one dimension] level, nanomaterials exhibit multifunctional characteristics that are desirable in many technical applications. There are also possible potential risks to human beings and the environment, from exposure to nanomaterials. The hazards could range from mild to fatal, making nanosafety an important issue in nanotechnology. This paper explores the issues surrounding nanosafety. The environmental and health effects of nanoparticles are examined and discussed, and the necessary safety precautions and ethical issues are stated. It was found that there is need to create safety and ethics policies that will help in mitigating the possible harmful effects of nanotechnology on society and the environment. Implementing precautionary measures will safe guard lives and the environment."
2009-11-26,Measurement of nanofiller removal by abrasion,"In the frame of the European NanoSafe2 project, CEA designed and qualified a specific bench test to measure the release of nanofillers from nanomaterials. In the proposed set up the material to be tested is mechanically solicited by abrasion using a normalized Taber equipment. The sensitivity of the method has been drastically optimized by reducing the background noise counts and the streaming air flow. The results show that even materials without any nanofiller can generate nanoparticles when submitted to abrasion. Furthermore, tests show that nanofillers can be released in usage by abrasion for non optimised nanoproducts. This confirms the interest to develop such a method. The normalized abrasion process itself is critical for the removal and the aérosolisation of the nanoparticles which both drive the sensitivity of the method. The abrasion process has to be optimized in a realistic and consensual way for standardization."
2009-11-24,Fullerene nanoparticles selectively enter oxidation-damaged cerebral microvessel endothelial cells inhibit JNK-related apoptosis,"There is a dearth in fundamental cellular-level understanding of how nanoparticles interact with the cells of the blood brain barrier (BBB), particularly under the oxidative environment. The apoptosis of cerebral microvessel endothelial cells (CMECs) induced by oxidative stress injury plays a key role in the dysfunction of BBB. By use of CMECs as an in vitro BBB model, we show for the first time that C60(C(COOH)2)2 nanoparticles can selectively enter oxidized CMECs rather than normal cells, and maintain CMECs integrity by attenuating H2O2-induced F-actin depolymerization via the observation of several state-of-the art microscopic techniques. Additionally, we have found that C60(C(COOH) 2)2 nanoparticles greatly inhibit the apoptosis of CMECs induced by H2O2, which is related to their modulation of the JNK pathway. C60(C(COOH)2)2 nanoparticles can regulate several downstream signaling events related to the JNK pathway, including reduction of JNK phosphorylation, activation of activator protein 1 (AP-1) and caspase-3, and inhibition of polyADP-ribose polymerase (PARP) cleavage and mitochondrial cytochrome c release. Our results indicate that C60(C(COOH)2)2 nanoparticles possess a novel ability of selectively entering oxidation-damaged cerebral endothelial cells rather than normal endothelial cells and then protecting them from apoptosis. © 2009 American Chemical Society."
2009-11-09,A novel method to prepare magnetite chitosan microspheres conjugated with methotrexate (MTX) for the controlled release of MTX as a magnetic targeting drug delivery system Controlled release of MTX-chitosan microspheres X. Zhang et al.,The purpose of the present study is to develop a new method to prepare magnetite chitosan microspheres conjugated with methotrexate (MTX) for the controlled release of MTX as a magnetic targeting drug delivery system. MTX was first conjugated to the chitosan chain via a peptide bond and then a suspension cross-linking technique was used for the production of magnetic chitosan microspheres with glutaraldehyde as the cross-linker. The MTX-loading capacity of the magnetic chitosan microspheres was determined and drug release experiments were also carried out to discuss the MTX release behavior. All the data support that the magnetic chitosan-MTX microspheres prepared in this method would have great potential application in magnetic targeting drug delivery technology. © 2009 Informa UK Ltd.
2009-11-04,Charge transport in DNA molecules: Cooperative interplay between the disordered base-pair channel and the ordered backbone,"Charge transport in DNA molecules has raised considerable interest because of its importance in biological processes and potential applications in nanoscale devices. A DNA molecule can be viewed as a quasi-one-dimensional system composed of stacked base pairs (AT, CG) together with backbones of sugar phosphates. Motivated by recent experimental observations on the importance of the backbone integrity, we investigate the interplay between charge transport through the ordered backbone and disordered base stacks with random sequences. By analytical and numerical calculations, we find that the coupling between the backbone and base-pair channels plays an important role in charge transport. The backbone can generate effective hopping constants well beyond the adjacent base pairs, enhancing charge transport through the base-pair channel. The corresponding enhancement of the localization length is nearly independent of the length of the DNA and increases with increasing coupling between backbone and base pair. Our model can explain qualitatively several experimental observations. © 2009 The American Physical Society."
