Date,Title,Content
2011-12-08,"Facile fabrication of rare-earth-doped Gd<inf>2</inf>O<inf>3</inf> hollow spheres with upconversion luminescence, magnetic resonance, and drug delivery properties","Rare-earth (RE)-doped gadolinium oxide (Gd2O3) hollow nanospheres have been successfully prepared on a large scale via a template-directed method using hydrothermal carbon spheres as sacrificed templates. Scanning electron microscope and transmission electron microscope images reveal that these hollow-structured nanospheres have the mesoporous shells that are composed of a large amount of uniform nanoparticles. By doping the RE ions (Yb/Er) into the Gd2O3 host matrix, these NPs emitted bright multicolored upconversion emissions that can be fine-tuned from green to red by adjusting the codoped Yb/Er ratio under 980 nm NIR laser excitation. The possibility of using these upconversion nanoparticles for optical imaging in vivo has been demonstrated. It was also shown that these Gd2O3 nanospheres brightened the T1-weighted images and enhanced the r1 relaxivity of water protons, which suggested that they could act as T1 contrast agents for magnetic resonance (MR) imaging. Moreover, these hollow spheres can be used as drug delivery host carriers, and drug storage/release properties were investigated using ibuprofen as the model drug. As a result, the so-prepared nanoscaled Gd2O3 hollow spheres bearing upconversion luminescence, MR imaging, and drug delivery capabilities could be potentially employed for simultaneous MR/fluorescent imaging and therapeutic applications. © 2011 American Chemical Society."
2011-12-01,Chitosan hydrogel microsphere-templated microcapsules carrying heparin via layer-by-layer self-assembly,"BACKGROUND: Electrostatic layer-by-layer (LbL) self-assembly is a simple, effective and novel approach to carrying macromolecules into microcapsule carriers. OBJECTIVE: To prepare chitosan (CS) microcapsules to control the releasing of heparin (Hep) by LbL. METHODS: CS microspheres were fabricated by a sodium sulfate-based precipitation process and then used as positively charged templates for polyelectrolyte multilayer coatings to carry heparin by the LbL self-assembly technique. The polycation was CS and the polyanion was Hep. The microcapsule was formed via coating {CS/Hep}3 on CS hydrogel template. The microcapsules composed of {CS/ Hep}3 on CS hydrogel templates were confirmed by fluorescence inverted microscopy, confocal laser scanning microscopy and laser particle size analysis. The assembly of polyelectrolyte layers on CS hydrogel microspheres was monitored by Zeta Potential Analyzer. RESULTS AND CONCLUSION: The resulting microcapsules were about 1 um in average diameter, and allowed spontaneous loading of heparin through electrostatic interaction, with the encapsulation efficiency and carrying capacity of 83.8% and 3.05%, respectively."
2011-12-01,Theoretical insights into the structures of graphene oxide and its chemical conversions between graphene,"In this paper we review recent computational insights into the oxidation of graphene, the reduction of graphene oxide, and the molecular models and electronic structures of graphene oxide. First, we will set the stage by giving a brief overview of recent exciting experimental progresses in chemistry of graphite oxide and graphene oxide. Then, we will discuss computational efforts to understand oxidation mechanisms of graphene. Next, we will examine computational efforts to elucidate the molecular and electronic structures of graphene oxide. Further, we will interrogate the reduction mechanisms of graphene oxide. In the end, we provide a perspective how the computational and experimental efforts will converge on the chemistry of graphene oxide. Copyright © 2011 American Scientific Publishers All rights reserved."
2011-12-01,An attempt to study of the C60 fullerene on differentiation of mouse ES cells,"We examined the differentiation capacity of mouse embryonic stem (ES) cells cultured on C60 fullerene, as well as cell viability effects, employing a cellular differentiation technique for the embryonic stem cell test (EST). The results demonstrated minor effects on differentiation assay, beating myocardial rate of the dispersed solution was noted in 72% of the control. In addition, there was no influence on cell viability. In this study, the C60 fullerene did not influence the differentiation of ES-D3 cells and ""non embryotoxicity"". We here investigated C60 fullerene dispersed in a medium. We expected a result of natural dispersion of C60 fullerene into the medium by agitation as possible. This is probably because C60 fullerene did not dispersed. Fullerene particles should be sufficiently dispersed in media. In the future, the biological safety should be comprehensively examined by improving dispersion in medium."
2011-12-01,Methods of detection and identification of manufactured nanoparticles,"The actual methods of detection and identification of manufactured nanoparticles in both simple and complex multi-component matrix for assessing biological effects and safety of nanotechnology products have been reviewed. The detection of priority species of biologically active nanoparticles, which include fullerenes, singleand multi-walled carbon nanotubes, nanoparticles of silver, gold, titanium oxide, aluminum, cerium, zinc and silicon, has been given a special attention. The requirements for sample preparation have been discussed. The results of the successful application for the detection of manufactured nanoparticles in biosamples with methods of scanning and transmission electron microscopy, confocal laser scanning microscopy, atomic force microscopy, scanning tunneling microscopy, size exclusion chromatography, field-flow fractionation, electrophoretic, light scattering, spectrophotometry, fluorescent spectroscopy, X-ray and other spectrometry, mass spectrometry, ""particle counters"", immunochemistry have been reviewed. The possibilities and limitations of different techniques, and their complementarity have been analyzed. © 2011 Pleiades Publishing, Ltd."
2011-12-01,The interaction of serum proteins with carbon nanotubes depend on the physicochemical properties of nanotubes,"With more and more potential applications of carbon nanotubes (CNTs) in different fields, the risk of exposure to CNTs is increasing. The interaction between CNTs and protein in biological media can affect the way cells interact with, recognize and process the nanoparticles, and this has important implications for safety considerations. In this study, the interaction of single-walled and multiwall CNTs with various serum proteins was investigated. The adsorption kinetics of protein to CNTs was investigated and a semi-qualitative analysis was provided by sodium dodecyl sulfate polyacrylamide gel electrophoresis (SDS-PAGE). Matrix assisted laser desorption ionization/time of flight mass spectrometry (MALDI-TOF MS) was used to identify the protein species binding to CNTs and atomic force microscopy (AFM) was used to vividly demonstrate the adsorption model of protein on CNTs. All the experimental results showed that the adsorption capacity of CNTs for protein was highly dependent on the type, arrangement model, size and surface modification of CNTs. Significant quantity of proteins in serum could be quickly adsorbed by CNTs, mainly including albumin, prealbumin, transferrin, and immunoglobulin. Noncovalent functionalization of CNTs by polyethylene glycol (PEG) could decrease the protein adsorption on CNTs. These results provide crucial insights into human serum proteins binding to different kinds of CNTs, which is important for understanding the safe application of carbon nanotubes. © 2011 American Scientific Publishers. All rights reserved."
2011-12-01,A hypothetical model for predicting the toxicity of high aspect ratio nanoparticles (HARN),"The ability to predict nanoparticle (dimensional structures which are less than 100 nm in size) toxicity through the use of a suitable model is an important goal if nanoparticles are to be regulated in terms of exposures and toxicological effects. Recently, a model to predict toxicity of nanoparticles with high aspect ratio has been put forward by a consortium of scientists. The High aspect ratio nanoparticles (HARN) model is a platform that relates the physical dimensions of HARN (specifically length and diameter ratio) and biopersistence to their toxicity in biological environments. Potentially, this model is of great public health and economic importance, as it can be used as a tool to not only predict toxicological activity but can be used to classify the toxicity of various fibrous nanoparticles, without the need to carry out time-consuming and expensive toxicology studies. However, this model of toxicity is currently hypothetical in nature and is based solely on drawing similarities in its dimensional geometry with that of asbestos and synthetic vitreous fibres. The aim of this review is two-fold: (a) to present findings from past literature, on the physicochemical property and pathogenicity bioassay testing of HARN (b) to identify some of the challenges and future research steps crucial before the HARN model can be accepted as a predictive model. By presenting what has been done, we are able to identify scientific challenges and research directions that are needed for the HARN model to gain public acceptance. Our recommendations for future research includes the need to: (a) accurately link physicochemical data with corresponding pathogenicity assay data, through the use of suitable reference standards and standardised protocols, (b) develop better tools/techniques for physicochemical characterisation, (c) to develop better ways of monitoring HARN in the workplace, (d) to reliably measure dose exposure levels, in order to support future epidemiological studies. © 2011 Springer Science+Business Media B.V."
2011-12-01,Nanosafety policy overview,This paper reviews the evolving landscape of nanosafety and related policies around the world. The paper describes the need for regulating nanomaterials through their lifecycle and how various government agencies are tacking the complex issues related to it and the various corporate initiatives to manage the risks associated in such uncertain regulatory environment. © 2011 IEEE.
2011-12-01,Gold nanoparticles: Promising nanomaterials for the diagnosis of cancer and HIV/AIDS,"Gold nanoparticles (AuNPs) are currently playing a significant role for human welfare in the field of clinical diagnosis as well as several biomedical applications. More and more research shows that AuNPs-based technologies are becoming promising approaches in cancer research and AIDS treatment. In this paper, we have focused mainly on the exploitation of unique and characteristic properties of AuNPs such as surface plasmon resonance (SPR), surface enhance Raman scattering (SERS), magnetic properties (MRI), and fluorescence behavior shown upon conjugation with biological and biocompatible ligands. These properties find wide prevalence in biodiagnostics like plasmon-based labeling and imaging, enzyme-linked immunosorbant assay (ELISA), and electrochemical- based methods that can pave the way for developing novel techniques towards diagnosis and therapy of cancer and human immunodeficiency virus/acquired immunodeficiency syndrome (HIV/AIDS). Copyright © 2011 Anil Kumar et al."
2011-12-01,Radiation-induced robust oscillation and non-Gaussian fluctuation,"There have been many recent studies devoted to the consequences of stochasticity in protein circuitry. Stress conditions, including DNA damage, hypoxia, heat shock, nutrient deprivation, and oncogene activation, can result in the activation and accumulation of p53. Several experimental studies show that oscillations can be induced by DNA damage following nuclear irradiation. To explore the underlying dynamical features and the role of stochasticity, we discuss the oscillatory dynamics in the well-studied regulatory network motif. The fluctuations around the fixed point of a delayed system are Gaussian in the limit of sufficiently weak delayed feedback, and remain Gaussian along a limit cycle when viewed tangential to the trajectory. The experimental results are recapitulated in this study. We illustrate several features of the p53 activities, which are robust when the parameters change. Furthermore, the distribution in protein abundance can be characterized by its non-Gaussian nature. © 2011 Chinese Physical Society and IOP Publishing Ltd."
